ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,JOURNAL,JIF,PAGE_ICON,TAGS
PKSmart,https://github.com/srijitseal/PKSmart,https://doi.org/10.1101/2024.02.02.578658,,,ADMET,Pretrained Models,"PK, ADMET",PK,"This work used molecular structural fingerprints, physicochemical properties, and predicted animal PK data as features to model the human PK parameters VDss, CL, t�, fu and MRT for 1,283 unique compounds and developed a webhosted application **[PKSmart](https://pk-predictor.serve.scilifelab.se/)**, the first work that publicly releases PK models on par with industry-standard models.",2,2024-11-24T20:19:05.000Z,1 months ago,,7,,,material/needle,"pretrained model, admet, pharmacokinetics (PK), webserver"
Cyto-Safe,https://github.com/LabMolUFG/cytosafe,https://doi.org/10.1021/acs.jcim.4c01811,http://insightai.labmol.com.br/,,ADMET,Pretrained Models,"Toxicity, ADMET",Toxicity,Webserver for toxicity prediction,3,2024-11-26T17:23:04.000Z,1 months ago,,0,Journal of Chemical Information and Modeling,5.6,material/needle,"pretrained model, toxicity, admet, webserver"
ProTox3,,https://doi.org/10.1093/nar/gkae303,https://tox.charite.de/protox3/,,ADMET,Pretrained Models,"Toxicity, ADMET",Toxicity,Webserver for toxicity prediction,,,,,181,Nucleic Acids Research,16.6,material/needle,"pretrained model, toxicity, admet, webserver"
SynthMol,https://github.com/ThomasSu1/SynthMol,https://doi.org/10.1021/acs.jcim.4c01320,,,ADMET,Pretrained Models,Toxicity,,Drug Safety Prediction Framework,4,2024-07-22T23:33:14.000Z,,,0,Journal of Chemical Information and Modeling,5.6,material/needle,"pretrained model, toxicity, admet"
Runs and Poses,https://doi.org/10.5281/zenodo.14794785,https://doi.org/10.1101/2025.02.03.636309,,,Benchmark Datasets,AI Co-folding,,,"2,600 high-resolution protein-ligand systems for benchmarking ",,,,,0,,,fontawesome/solid/hexagon-nodes,"benchmark, AI co-folding, dataset"
GenBench3D,https://github.com/bbaillif/genbench3d,https://doi.org/10.48550/arXiv.2407.04424,,,Benchmark Datasets,"De Novo Generation, Benchmarks",3D,,Benchmarking structure-based three-dimensional molecular generative models using GenBench3D,15,2024-12-11T23:11:10.000Z,1 months ago,,0,,,material/new-box,"benchmark, de novo generation, dataset"
GuacaMol,https://github.com/BenevolentAI/guacamol,https://doi.org/10.1021/acs.jcim.8b00839,,,Benchmark Datasets,"De Novo Generation, Benchmarks",Expert Feedback,,"Framework for benchmarking models in de novo molecular design, providing a standard suite of tests to evaluate the performance of generative models in producing molecules with desired properties.",434,2022-07-15T21:39:59.000Z,30 months ago,,477,Journal of Chemical Information and Modeling,5.6,material/new-box,"benchmark, de novo generation, dataset"
moses,https://github.com/molecularsets/moses,https://doi.org/10.3389/fphar.2020.565644,,,Benchmark Datasets,"De Novo Generation, Benchmarks",Expert Feedback,,Molecular Sets (MOSES): A Benchmarking Platform for Molecular Generation Models,870,2023-06-22T15:28:31.000Z,19 months ago,,374,Frontiers in Pharmacology,4.4,material/new-box,"benchmark, de novo generation, dataset"
SMINA Docking Benchmark,https://github.com/cieplinski-tobiasz/smina-docking-benchmark,https://doi.org/10.1021/acs.jcim.2c01355,,,Benchmark Datasets,"De Novo Generation, Benchmarks",Expert Feedback,,We Should at Least Be Able to Design Molecules That Dock Well,70,2022-09-19T10:58:26.000Z,28 months ago,,15,Journal of Chemical Information and Modeling,5.6,material/new-box,"benchmark, de novo generation, dataset"
TOMG-Bench,https://github.com/phenixace/TOMG-Bench,https://doi.org/10.48550/arXiv.2412.14642,,,Benchmark Datasets,"De Novo Generation, Benchmarks",LLM Generation,,Evaluating LLMs on Text-based Open Molecule Generation,15,2024-12-22T13:32:46.000Z,0 months ago,,0,,,material/new-box,"benchmark, de novo generation, dataset, large language model (LLM)"
CBGBench,https://github.com/Edapinenut/CBGBench,https://doi.org/10.48550/arXiv.2406.10840,,,Benchmark Datasets,"De Novo Generation, Benchmarks",Target Aware De Novo Generation,,Fill in the Blank of Protein-Molecule Complex Binding Graph,270,2025-02-17T08:01:25.000Z,0 months ago,,0,,,material/new-box,"benchmark, de novo generation, target aware de novo generation, dataset"
Durian,https://github.com/19990210nd/Durian,https://doi.org/10.1021/acs.jcim.4c02232,,,Benchmark Datasets,"De Novo Generation, Benchmarks",Target Aware De Novo Generation,,Comprehensive Benchmark for Structure-Based 3D Molecular Generation,0,2024-10-13T19:06:52.000Z,3 months ago,,0,Journal of Chemical Information and Modeling,5.6,material/new-box,"benchmark, de novo generation, target aware de novo generation, dataset"
From Theory to Therapy: Reframing SBDD Model Evaluation via Practical Metrics,,https://doi.org/10.4135/9781071909850.n4,,,Benchmark Datasets,"De Novo Generation, Benchmarks",Target Aware De Novo Generation,,From Theory to Therapy: Reframing SBDD Model Evaluation via Practical Metrics,,,,,2,Practical Program Evaluation: Theory-Driven Evaluation and the Integrated Evaluation Perspective,,material/new-box,"benchmark, de novo generation, target aware de novo generation, dataset"
POKMOL-3D,https://github.com/haoyang9688/POKMOL3D/tree/master,https://doi.org/10.1021/acs.jcim.4c01598,,,Benchmark Datasets,"De Novo Generation, Benchmarks",Target Aware De Novo Generation,,Benchmark Set and Evaluation of Protein Pocket-Based 3D Molecular Generative Models,8,2025-01-15T02:10:00.000Z,0 months ago,,1,Journal of Chemical Information and Modeling,5.6,material/new-box,"benchmark, de novo generation, target aware de novo generation, dataset"
BigBind and BayesBind,https://github.com/molecularmodelinglab/bigbind,https://doi.org/10.1021/acs.jcim.3c01211,,,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,BigBind: Learning from Nonstructural Data for Structure-Based Virtual Screening,17,2024-11-14T20:09:18.000Z,2 months ago,,5,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio,"benchmark, docking and scoring function benchmark, dataset"
CASF,,https://doi.org/10.1021/acs.jcim.8b00545,,http://www.pdbbind.org.cn/casf.php,Benchmark Datasets,"Docking and Scoring Function Benchmarks, CADD Challenges",,,"CASF offers benchmark packages for the assessment of scoring functions, with versions CASF-2016, CASF-2013, and CASF-2007 available for download upon registration.",,,,,501,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio,"benchmark, docking and scoring function benchmark, dataset, CADD challenge"
D-COID,,https://doi.org/10.17632/8czn4rxz68.1,,https://data.mendeley.com/datasets/8czn4rxz68/1,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,Dataset of Congruent Inhibitors and Decoys,,,,,0,,,simple/abbrobotstudio,"benchmark, docking and scoring function benchmark, dataset"
DEKOIS,,https://doi.org/10.1021/ci2001549,,http://www.pharmchem.uni-tuebingen.de/dekois/,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,"Provides DEKOIS 2.0, a library of benchmark data sets for objective in silico screening.",,,,,73,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio,"benchmark, docking and scoring function benchmark, dataset"
Disco,,,,http://disco.csb.pitt.edu/Targets_top1.php?ligands,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,A default benchmark containing 95 targets selected from the DUD-E Targets list for docking datasets generation.,,,,,,,,simple/abbrobotstudio,"benchmark, docking and scoring function benchmark, dataset"
Lit-PCBA,,https://doi.org/10.1021/acs.jcim.0c00155,,https://drugdesign.unistra.fr/LIT-PCBA/index.html,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,"A dataset for virtual screening and machine learning with 15 target sets, 7761 actives, and 382674 unique inactives selected from high-confidence PubChem Bioassay data.",,,,,144,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio,"benchmark, docking and scoring function benchmark, dataset"
MF-PCBA,https://github.com/davidbuterez/mf-pcba,https://doi.org/10.1021/acs.jcim.2c01569,,,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,"A repository containing code for downloading, filtering, and assembling the MF-PCBA datasets for machine learning in drug discovery.",25,2023-05-17T16:09:37.000Z,20 months ago,,9,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio,"dataset, benchmark, docking and scoring function benchmark"
MUDB-DecoyMaker2.0,https://github.com/jwxia2014/MUBD-DecoyMaker2.0,https://doi.org/10.1002/minf.201900151,,,Benchmark Datasets,"Docking and Scoring Function Benchmarks, Decoy Generation",,,A Python GUI application to generate maximal unbiased benchmarking sets data sets for virtual drug screening.,3,2024-11-01T12:49:19.000Z,2 months ago,,10,Molecular Informatics,2.8,simple/abbrobotstudio,"benchmark, docking and scoring function benchmark, decoy generation"
TocoDDB,,https://doi.org/10.1021/acs.jmedchem.3c00801,,http://cadd.zju.edu.cn/tocodecoy/,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,"Topology-Based and Conformation-Based Decoys Database: An Unbiased Online Database for Training and Benchmarking Machine-learning scoring functions, ML+AI",,,,,2,Journal of Medicinal Chemistry,6.8,simple/abbrobotstudio,"benchmark, docking and scoring function benchmark, dataset"
TocoDecoy,https://github.com/5AGE-zhang/TocoDecoy,https://doi.org/10.1021/acs.jmedchem.2c00460,,,Benchmark Datasets,"Docking and Scoring Function Benchmarks, Decoy Generation",,,"A new approach to design unbiased datasets for training and benchmarking Machine-learning scoring functions, ML+AI.",12,2022-04-14T13:53:37.000Z,33 months ago,,21,Journal of Medicinal Chemistry,6.8,simple/abbrobotstudio,"benchmark, docking and scoring function benchmark, decoy generation"
Uni-Dock-Benchmarks,https://github.com/dptech-corp/Uni-Dock-Benchmarks,,,,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,,9,2025-02-10T10:41:51.000Z,0 months ago,,,,,simple/abbrobotstudio,"benchmark, docking and scoring function benchmark, dataset"
MISATO,,https://doi.org/10.1038/s43588-024-00627-2,,https://zenodo.org/records/7711953,Benchmark Datasets,Molecular Dynamics,,,machine learning dataset of protein�ligand complexes for structure-based drug discovery,,,,,13,Nature Computational Science,12,fontawesome/brands/mdb,"benchmark, molecular dynamics (MD)"
PLAS-5k,,,,https://hai.iiit.ac.in/datasets.html,Benchmark Datasets,Molecular Dynamics,,,Dataset of Protein-Ligand Affinities from Molecular Dynamics for Machine Learning Applications (5000 protein-ligand complexes) (dataset).,,,,,,,,fontawesome/brands/mdb,"benchmark, molecular dynamics (MD), dataset, affinity, protein-ligand affinity (PLA)"
Polaris,,,,https://polarishub.io/datasets?accessTypes=public&certifiedOnly=true,Benchmark Datasets,Multiple endpoints,,,benchmarking platform�for drug discovery,,,,,,,,material/database,"benchmark, dataset"
Therapeutics Data Commons,,,,https://tdcommons.ai/,Benchmark Datasets,Multiple endpoints,,,"Therapeutics Data Commons is a resource to access and evaluate AI methods, supporting the development of AI methods, with a strong bent towards establishing the foundation of which AI methods are most suitable for drug discovery applications and why.",,,,,,,,material/database,"benchmark, dataset"
WelQRate,,https://doi.org/10.48550/arXiv.2411.09820,,http://welqrate.org/,Benchmark Datasets,"Multiple endpoints, Benchmarks",,,Gold Standard in Small Molecule Drug Discovery Benchmarking,,,,,0,,,material/database,"benchmark, dataset"
AIRCHECK,,,,https://aircheck.ai/datasets,Benchmark Datasets,Protein-Ligand Interaction,DEL,,,,,,,,,,material/tray-full,"benchmark, protein-ligand interaction (PLI), DNA-encoded library (DEL)"
BindingDB,,https://doi.org/10.1093/nar/gk,,https://www.bindingdb.org/bind/index.jsp,Benchmark Datasets,Protein-Ligand Interaction,,,"BindingDB contains data for over 1.2 million compounds and 9.2k targets, supporting research, education, and practice in drug discovery, pharmacology, and related fields.",,,,,0,,,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
BindingNet,https://github.com/hnlab/BindingNet,https://doi.org/10.1021/acs.jcim.3c01170,,http://bindingnet.huanglab.org.cn/,Benchmark Datasets,Protein-Ligand Interaction,,,"BindingNet is a dataset for analyzing protein-ligand interactions, containing modeled poses for compounds similar to the crystal ligands found in PDBbind, along with corresponding activities from ChEMBL.",23,2024-07-03T10:48:33.000Z,6 months ago,,4,Journal of Chemical Information and Modeling,5.6,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
BioLip2,,https://doi.org/10.1093/nar/gkad630,,https://zhanggroup.org/BioLiP/index.cgi,Benchmark Datasets,Protein-Ligand Interaction,,,"BioLiP is a semi-manually curated database for high-quality, biologically relevant ligand-protein binding interactions, aiming to serve the needs of ligand-protein docking, virtual ligand screening, and protein function annotation.",,,,,53,Nucleic Acids Research,16.6,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
BioLip2-Opt,https://github.com/THGLab/PDBBind-Opt,https://doi.org/10.48550/arXiv.2411.01223,,https://figshare.com/collections/PDBBind_Optimization_to_Create_a_High-Quality_Protein-Ligand_Binding_Dataset_for_Binding_Affinity_Prediction/7520133/1,Benchmark Datasets,Protein-Ligand Interaction,,,High-Quality Protein-Ligand Binding Dataset for Binding Affinity Prediction,26,2025-01-15T03:01:36.000Z,0 months ago,,0,,,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
Leak Proof PDBBind,https://github.com/THGLab/LP-PDBBind,https://doi.org/10.7554/elife.07454.017,,https://github.com/THGLab/LP-PDBBind,Benchmark Datasets,Protein-Ligand Interaction,,,"This work presents a cleaned PDBBind dataset of non-covalent binders, reorganized to avoid data leakage, allowing for more generalizable binding affinity prediction.",38,2024-01-29T22:15:35.000Z,11 months ago,,0,,,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
PDBBind,,https://doi.org/10.1021/acs.accounts.6b00491,,http://pdbbind.org.cn/,Benchmark Datasets,Protein-Ligand Interaction,,,Forging the Basis for Developing Protein�Ligand Interaction Scoring Functions,,,,,344,Accounts of Chemical Research,16.4,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
PDBBind+,,,,https://www.pdbbind-plus.org.cn/,Benchmark Datasets,Protein-Ligand Interaction,,,,,,,Commercial,,,,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
PDBBind-CleanSplit,https://github.com/camlab-ethz/GEMS,https://doi.org/10.1101/2024.12.09.627482,,https://doi.org/10.5281/zenodo.14260171,Benchmark Datasets,Protein-Ligand Interaction,,,refined training dataset based on PDBbind that minimizes data leakage,21,2024-12-17T08:45:07.000Z,1 months ago,,0,,,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
PDBBind-Opt,https://github.com/THGLab/PDBBind-Opt,https://doi.org/10.48550/arXiv.2411.01223,,https://figshare.com/collections/PDBBind_Optimization_to_Create_a_High-Quality_Protein-Ligand_Binding_Dataset_for_Binding_Affinity_Prediction/7520133/1,Benchmark Datasets,Protein-Ligand Interaction,,,PDBBind Optimization to Create a High-Quality Protein-Ligand Binding Dataset for Binding Affinity Prediction,26,2025-01-15T03:01:36.000Z,0 months ago,,0,,,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
PDBscreen,,,,https://zenodo.org/records/8049380,Benchmark Datasets,Protein-Ligand Interaction,,,PDBscreen provides a dataset with multiple data augmentation strategies suitable for training protein-ligand interaction prediction methods.,,,,,,,,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
PLAS-20K,,https://doi.org/10.1038/s41597-023-02872-y,,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/64cca66569bfb8925a5514c5/original/plas-20k-extended-dataset-of-protein-ligand-affinities-from-md-simulations-for-machine-learning-applications.pdf,Benchmark Datasets,Protein-Ligand Interaction,,,PLAS-20k: Extended Dataset of Protein-Ligand Affinities from MD Simulations for Machine Learning Applications,,,,,10,Scientific Data,5.8,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
PLINDER,https://github.com/plinder-org/plinder,https://doi.org/10.1101/2024.07.17.603955,,,Benchmark Datasets,Protein-Ligand Interaction,,,"the largest and most annotated dataset to date, comprising 449,383 PLI systems, each with over 500 annotations, similarity metrics at protein, pocket, interaction and ligand levels, and paired unbound (apo) and predicted structures",209,2025-02-17T12:39:51.000Z,0 months ago,,10,,,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
SIU,https://github.com/bowen-gao/SIU,https://doi.org/10.48550/arXiv.2406.08961,,https://huggingface.co/datasets/bgao95/SIU,Benchmark Datasets,Protein-Ligand Interaction,,,Million-Scale Structural Small Molecule-Protein Interaction Dataset for Unbiased Bioactivity Prediction,4,2025-02-17T06:53:53.000Z,7 months ago,,0,,,material/tray-full,"benchmark, protein-ligand interaction (PLI), protein-ligand affinity (PLA)"
Binding Affinity Prediction: From Conventional to Machine Learning-Based Approaches,,https://doi.org/10.1021/acs.jcim.0c01415.s001,,,Binding Affinity Prediction,Reviews,,,Binding Affinity Prediction: From Conventional to Machine Learning-Based Approaches,,,,,0,,,material/message-draw,"protein-ligand affinity (PLA), review"
InterPro,,https://doi.org/10.1093/nar%2Fgkae1082,https://www.ebi.ac.uk/interpro,,Bioinformatics,Sequence Family Classification,,,resource for the classification of protein sequences into families,,,,,18,Nucleic Acids Research,16.6,material/crowd,"bioinformatics, sequence"
CACHE,,,,https://cache-challenge.org/,CADD Challenges,CADD Challenges,,,Critical Assessment of Computational Hit-Finding Experiments,,,,,,,,material/podium-gold,CADD challenge
CASP,,,,https://predictioncenter.org/,CADD Challenges,CADD Challenges,,,Critical Assessment of protein Structure Prediction,,,,,,,,material/podium-gold,"CADD challenge, benchmark"
MAINFRAME,,,,https://aircheck.ai/mainframe,CADD Challenges,CADD Challenges,,,Global Open Science Machine Learning Network for Drug Discovery,,,,,,,,material/podium-gold,"CADD challenge, benchmark"
Fsees,,https://doi.org/10.1021/acs.jcim.6b00117,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/fsees.html,Chemical Space,Chemical library generation,Fragment Library Enumeration,,efficient method for exhaustively enumerating all molecules within a certain molecular subspace,,,,,6,Journal of Chemical Information and Modeling,5.6,material/database-plus,"chemical space, chemical library generation, fragment library enumeration"
ChemoDOTS,https://github.com/iSCBTeam/ChemoDOTS,https://doi.org/10.1093/nar/gkae326,https://chemodots.marseille.inserm.fr/,,Chemical Space,Chemical library generation,,,"designed to build�focused chemical libraries, starting from a�user-specified hit fragment, using chemistry-driven approach and according to the�growing�strategy encountered in�Fragment-Based Drug Discovery",0,2024-03-06T18:23:41.000Z,10 months ago,,0,Nucleic Acids Research,16.6,material/database-plus,"chemical space, chemical library generation"
MolFinder,https://github.com/duaibeom/MolFinder,https://doi.org/10.1186/s13321-021-00501-7,,,Chemical Space,"Chemical library generation, Evolutionary",,,an evolutionary algorithm for the global optimization of molecular properties and the extensive exploration of chemical space using SMILES (standalone),4,2021-03-23T12:24:25.000Z,46 months ago,,38,Journal of Cheminformatics,7.1,material/database-plus,chemical space
SpaceCompare,,https://doi.org/10.1021/acs.jcim.1c01378,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/spacecompare.html,Chemical Space,Chemical Space Comparison,,,Comparison of Combinatorial Fragment Spaces,,,,,25,Journal of Chemical Information and Modeling,5.6,material/select-compare,"chemical space, chemical space comparison"
CHEESE,,https://doi.org/10.26434/chemrxiv-2024-cswth,,https://cheese-docs.deepmedchem.com/,Chemical Space,Chemical Space Search,,,,,,,,0,,,material/search-web,"chemical space, chemical space search"
infiniSee,,,,https://www.biosolveit.de/products/infinisee/,Chemical Space,Chemical Space Search,,,Chemical Space navigation platform,,,,,,,,material/search-web,"chemical space, chemical space search"
Space searching in RDKit,,,,https://greglandrum.github.io/rdkit-blog/posts/2024-12-03-introducing-synthon-search.html,Chemical Space,Chemical Space Search,,,Searching unreasonably large chemical spaces in reasonable amounts of time.,,,,,,,,material/search-web,"chemical space, chemical space search"
